id,title,main_story,main_plus_extras,completionist,developers,publishers,platforms,genres
6725,Okami,34.5,42.5,55.5,Clover Studio,Capcom,"Nintendo Switch, PC, PlayStation 2, PlayStation 3, PlayStation 4, Wii, Wii U, Xbox One","Action, Adventure"
6727,Okamiden,21,23.5,26.5,Capcom,Capcom,"Nintendo 3DS, Nintendo DS",Action-adventure
45957,Old Man's Journey,1.5,1.5,1.5,Broken Rules,Broken Rules,"Mobile, Nintendo Switch, PC, PlayStation 4","Adventure, Puzzle"
53826,Old School Musical,3,13.5,31.5,La Moutarde,Playdius,"Nintendo Switch, PC",Adventure
16517,OlliOlli,3.5,7,15,Roll7,Roll7,"Nintendo 3DS, Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Wii U, Xbox One",Sports
24459,OlliOlli2: Welcome to Olliwood,3,5,16,Roll7,Roll7,"Nintendo Switch, PC, PlayStation 4, PlayStation Vita, Xbox One",Arcade
6729,Omega Boost,1.5,13.5,27,Polyphony Digital,Sony Computer Entertainment,PlayStation,Rail shooter
25689,Omega Quintet,39.5,50,77.5,Galapagos RPG,Idea Factory International,"PC, PlayStation 4",Role-Playing
48833,Omega Strike,5.5,6,6.5,Woblyware,Woblyware,"Nintendo Switch, PC","Action, Adventure"
54784,Omen Exitio: Plague,4,8,12,Tiny Bull Studios,Tiny Bull Studios,PC,"Text, Adventure"
56487,Omensight,7,7.5,10.5,Spearhead Games,Spearhead Games,"Nintendo Switch, PC, PlayStation 4","Action, Adventure"
6731,Omerta: City of Gangsters,16,29,72,Haemimont Games,Kalypso Media,"PC, Xbox 360",Simulation
6733,Omikron: The Nomad Soul,12.5,18,21,Quantic Dream,Eidos Interactive,"Dreamcast, PC",Adventure
25825,On A Roll 3D,2,2,4,Battenberg Software,Battenberg Software,PC,"Platform, Puzzle"
30710,On Rusty Trails,3.5,4.5,8,Black Pants Studio,Black Pants Studio,PC,Platform
43556,Once on a Windswept Night,0.933333333,3,3,Ebi-hime,Sekai Project,PC,"Racing, Visual Novel"
44820,One Eyed Kutkh,0.75,0.75,0.833333333,Baba Yaga Games,Baba Yaga Games,"PC, Xbox One",Adventure
66469,One Finger Death Punch 2,10,13,19.5,Silver Dollar Games,Silver Dollar Games,PC,"Side, Scrolling, Action"
26182,One Manga Day,0.433333333,0.75,0.75,DeXP,"DeXP, MyLifeGame",PC,"Educational, Visual Novel"
6743,One Must Fall: 2097,20,22.5,24.5,Diversions Entertainment,Epic MegaGames,PC,Fighting
